src_kc,dst_kc,weight,source,reason,dataset,fold
5466113165362489461,3653563208126184539,0.0007461273761929,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
2143588291252662697,2671778268925263369,0.049300087976213,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
2143588291252662697,3028217656522691558,0.0042540396672494,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
3640180057423095937,2671778268925263369,0.002082474915643,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
3640180057423095937,3028217656522691558,0.0028954196688085,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
3402299065349039699,2671778268925263369,0.0017038431127988,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
3402299065349039699,3640180057423095937,0.0031181442587168,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4537858677104322681,2671778268925263369,0.002561332783946,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
3402299065349039699,4537858677104322681,0.0032406427831664,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4774286582542423,2671778268925263369,0.0008797621301379,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
1313529140510878877,757436873293408824,0.0039644977003686,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
1313529140510878877,2510294538734070291,0.0039422252413777,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4963726092667540725,1313529140510878877,0.0112253193313807,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4635917235333003339,1313529140510878877,0.00106907803156,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4635917235333003339,2510294538734070291,0.0015924808178446,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4635917235333003339,4963726092667540725,0.0007349911466975,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
6522724578798501890,1313529140510878877,0.0007795360646792,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
6522724578798501890,2510294538734070291,0.0005568114747708,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
6522724578798501890,4963726092667540725,0.0005902201632571,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
6522724578798501890,5117000868778670152,0.0008352172121563,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
5117000868778670152,1313529140510878877,0.0040535875363319,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
2204684178301237019,2510294538734070291,0.0012695301624775,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
2204684178301237019,4963726092667540725,0.0007906722941746,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
2204684178301237019,5117000868778670152,0.00053453901578,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
5117000868778670152,2204684178301237019,0.0013140750804592,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4963726092667540725,5117000868778670152,0.0045324454046348,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
5150006357744294756,757436873293408824,0.0006124926222479,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
5150006357744294756,2510294538734070291,0.0009688519661013,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4282411317345622974,757436873293408824,0.0015813445883492,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4282411317345622974,2510294538734070291,0.0012918026214684,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4282411317345622974,5150006357744294756,0.0007683998351838,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
5150006357744294756,4963726092667540725,0.0008129447531654,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
6046842674573912929,1313529140510878877,0.0015145272113767,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
2204684178301237019,6046842674573912929,0.0021270198336247,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4963726092667540725,6046842674573912929,0.0021604285221109,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
1313529140510878877,5117000868778670152,0.0046883526175707,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
6046842674573912929,2510294538734070291,0.0022717908170651,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
757436873293408824,2510294538734070291,0.0026726950789001,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
5117000868778670152,2510294538734070291,0.0556366025591055,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
2592368872455811988,4198873963399705102,0.0037863180284419,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4718421215244995886,2592368872455811988,0.002617013931423,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4198873963399705102,2592368872455811988,0.0039867701593594,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4198873963399705102,4718421215244995886,0.0035524572090381,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4198873963399705102,5061085834797436568,0.0018374778667438,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
5483654028790816580,2592368872455811988,0.0008908983596333,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
5483654028790816580,4198873963399705102,0.0011024867200463,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4198873963399705102,5483654028790816580,0.0013029388509638,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
3175235882179062011,4400962229988067841,0.0005568114747708,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
2658751512884417664,4718421215244995886,0.0005902201632571,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
2658751512884417664,7366335732053573777,0.0006236288517433,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4718421215244995886,5061085834797436568,0.0028174660623406,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4718421215244995886,5483654028790816580,0.0013586199984409,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
4718421215244995886,8120885680099365461,0.001202712785505,train_temporal_precedence,cycle_prune_lowest_confidence,junyi,0
