src_kc,dst_kc,weight,source,reason,dataset,fold
45255801712524960,2558668694786938832,0.1160804020100502,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
45255801712524960,4506961021557936643,0.1733668341708542,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
4621006129544287250,45255801712524960,0.0323283082077051,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
4621006129544287250,2558668694786938832,0.0314907872696817,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
8658015004735617899,45255801712524960,0.0656616415410385,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
8658015004735617899,4621006129544287250,0.055108877721943,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
5150781530174384490,45255801712524960,0.1246231155778894,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
4512154762715883523,1184601452570238537,0.0368509212730318,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
5150781530174384490,4512154762715883523,0.0505862646566164,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
5150781530174384490,6043688093280594646,0.0326633165829145,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
950842537417791846,2558668694786938832,0.0308207705192629,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
5150781530174384490,6796654707483306619,0.0319932998324958,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
45255801712524960,6043688093280594646,0.2177554438860971,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
215876211638635031,690724063745290109,0.0279731993299832,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
540556179610450305,2077113110814594423,0.069179229480737,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
1387869424918319405,2375571201326444238,0.1938023450586264,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
540556179610450305,2375571201326444238,0.0370184254606365,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
540556179610450305,2558668694786938832,0.0442211055276381,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
540556179610450305,4446439564131412927,0.0299832495812395,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
259795863650186171,9196917317951585257,0.0304857621440536,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
2077113110814594423,2375571201326444238,0.0487437185929648,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
2077113110814594423,2558668694786938832,0.2065326633165829,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
2077113110814594423,5734238830861545760,0.0785594639865996,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
2077113110814594423,6630961407089570273,0.0423785594639866,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
2375571201326444238,2558668694786938832,0.2834170854271357,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
4528699777640757523,2375571201326444238,0.045393634840871,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
2375571201326444238,4528699777640757523,0.0623115577889447,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
6222096172862745788,2375571201326444238,0.1425460636515912,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
2558668694786938832,5457224166832555650,0.1730318257956448,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
292901514039221941,2558668694786938832,0.1770519262981574,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
292901514039221941,3517151667001890833,0.1254606365159129,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
292901514039221941,5457224166832555650,0.174036850921273,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
292901514039221941,5734238830861545760,0.1011725293132328,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
292901514039221941,7172070696911170637,0.7592964824120603,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
2558668694786938832,7172070696911170637,0.2504187604690117,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
5537998425683065960,215876211638635031,0.0306532663316582,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
1505205117908480661,4544324889495461487,0.0353433835845896,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
6820767457986902137,1505205117908480661,0.0713567839195979,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
5333571841247502049,451051234163934306,0.1541038525963149,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
3289691078195680340,3517151667001890833,0.1,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
3289691078195680340,5457224166832555650,0.4008375209380234,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
6630961407089570273,3289691078195680340,0.4477386934673367,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
6630961407089570273,3517151667001890833,0.1443886097152429,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
6630961407089570273,5457224166832555650,0.433500837520938,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
6630961407089570273,7172070696911170637,0.1293132328308207,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
3289691078195680340,7172070696911170637,0.1197654941373534,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
598646412528134258,451051234163934306,0.0636515912897822,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
1359845726682286014,598646412528134258,0.1289782244556113,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
1359845726682286014,3138867893336607623,0.0924623115577889,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
3289691078195680340,7651018055143782120,0.0872696817420435,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
5457224166832555650,3517151667001890833,0.2450586264656616,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
7172070696911170637,3517151667001890833,0.2159128978224455,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
5457224166832555650,7172070696911170637,0.2251256281407035,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
9196917317951585257,598646412528134258,0.0420435510887772,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
451051234163934306,5333571841247502049,0.2025125628140703,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
451051234163934306,5734238830861545760,0.2165829145728643,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
6584128721578357572,451051234163934306,0.1013400335008375,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
6820767457986902137,7057336746638215436,0.0306532663316582,train_temporal_precedence,cycle_prune_lowest_confidence,assist2012,0
